noba_lo_id,group_number,group_module_order,group_title,module_number,module_title,lo_number,learning_objective
7.55.2,7,5,Social,55,The Family,2,Describe attachment theory.
7.55.3,7,5,Social,55,The Family,3,Identify different parenting styles.
7.55.4,7,5,Social,55,The Family,4,Know the typical developmental trajectory of families.
7.55.5,7,5,Social,55,The Family,5,"Understand cultural differences in dating, marriage, and divorce."
7.55.6,7,5,Social,55,The Family,6,Explain the influence of children and aging parents on families.
7.55.7,7,5,Social,55,The Family,7,Know concrete tips for increasing happiness within your family.
7.56.1,7,6,Social,56,Culture,1,Appreciate culture as an evolutionary adaptation common to all humans.
7.56.2,7,6,Social,56,Culture,2,Understand cultural processes as variable patterns rather than as fixed scripts.
7.56.3,7,6,Social,56,Culture,3,Understand the difference between cultural and cross-cultural research methods.
7.56.4,7,6,Social,56,Culture,4,"Appreciate cultural awareness as a source of personal well-being, social responsibility, and social harmony."
7.56.5,7,6,Social,56,Culture,5,Explain the difference between individualism and collectivism.
7.56.6,7,6,Social,56,Culture,6,Define “self-construal” and provide a real life example.
7.57.1,7,7,Social,57,Social Comparison,1,Understand the reasons people make social comparisons.
7.57.2,7,7,Social,57,Social Comparison,2,Identify consequences of social comparison.
7.57.3,7,7,Social,57,Social Comparison,3,Understand the Self-Evaluation Maintenance Model.
7.57.4,7,7,Social,57,Social Comparison,4,Explain situational factors that can affect social comparison.
7.58.1,7,8,Social,58,Persuasion: So Easily Fooled,1,Recognize the difference between the central and peripheral routes to persuasion.
7.58.2,7,8,Social,58,Persuasion: So Easily Fooled,2,"Understand the concepts of trigger features, fixed action patterns, heuristics, and mindless thinking, and how these processes are essential to our survival but, at the same time, leave us vulnerable to exploitation."
7.58.3,7,8,Social,58,Persuasion: So Easily Fooled,3,Understand some common “tricks” persuasion artists may use to take advantage of us.
7.58.4,7,8,Social,58,Persuasion: So Easily Fooled,4,Use this knowledge to make you less susceptible to unwanted persuasion.
7.59.1,7,9,Social,59,Conformity and Obedience,1,Become aware of how widespread conformity is in our lives and some of the ways each of us changes our attitudes and behavior to match the norm.
7.59.2,7,9,Social,59,Conformity and Obedience,2,Understand the two primary reasons why people often conform to perceived norms.
7.59.3,7,9,Social,59,Conformity and Obedience,3,Appreciate how obedience to authority has been examined in laboratory studies and some of the implications of the findings from these investigations.
7.59.4,7,9,Social,59,Conformity and Obedience,4,Consider some of the remaining issues and sources of controversy surrounding Milgram’s
7.60.1,7,10,Social,60,Cooperation,1,Distinguish between different social value orientations
7.60.2,7,10,Social,60,Cooperation,2,List 2 influences on cooperation
7.60.3,7,10,Social,60,Cooperation,3,Explain 2 methods psychologists use to research cooperation
7.61.1,7,11,Social,61,"Love, Friendship, and Social Support",1,Understand what attracts us to others.
7.61.2,7,11,Social,61,"Love, Friendship, and Social Support",2,Review research that suggests that friendships are important for our health and well-being.
7.61.3,7,11,Social,61,"Love, Friendship, and Social Support",3,Examine the influence of the Internet on friendship and developing relationships.
7.61.4,7,11,Social,61,"Love, Friendship, and Social Support",4,Understand what happens to our brains when we are in love.
7.61.5,7,11,Social,61,"Love, Friendship, and Social Support",5,Consider the complexity of love.
7.61.6,7,11,Social,61,"Love, Friendship, and Social Support",6,Examine the construct and components of social support.
7.62.1,7,12,Social,62,The Psychology of Groups,1,Review the evidence that suggests humans have a fundamental need to belong to groups.
7.62.2,7,12,Social,62,The Psychology of Groups,2,Compare the sociometer model of self-esteem to a more traditional view of self-esteem.
7.62.3,7,12,Social,62,The Psychology of Groups,3,"Use theories of social facilitation to predict when a group will perform tasks slowly or quickly (e.g., students eating a meal as a group, workers on an assembly line, or a study group)."
7.62.4,7,12,Social,62,The Psychology of Groups,4,"Summarize the methods used by Latané, Williams, and Harkins to identify the relative impact of social loafing and coordination problems on group performance."
7.62.5,7,12,Social,62,The Psychology of Groups,5,Describe how groups change over time.
7.62.6,7,12,Social,62,The Psychology of Groups,6,"Apply the theory of groupthink to a well-known decision-making group, such as the group of advisors responsible for planning the Bay of Pigs operation."
7.62.7,7,12,Social,62,The Psychology of Groups,7,List and discuss the factors that facilitate and impede group performance and decision making.
7.62.8,7,12,Social,62,The Psychology of Groups,8,"Develop a list of recommendations that, if followed, would minimize the possibility of groupthink developing in a group."
7.63.1,7,13,Social,63,"Prejudice, Discrimination, and Stereotyping",1,"Distinguish prejudice, stereotypes, and discrimination."
7.63.2,7,13,Social,63,"Prejudice, Discrimination, and Stereotyping",2,Distinguish blatant biases from subtle biases.
7.63.3,7,13,Social,63,"Prejudice, Discrimination, and Stereotyping",3,Understand biases such as social dominance orientation and right-wing authoritarianism.
7.63.4,7,13,Social,63,"Prejudice, Discrimination, and Stereotyping",4,"Understand subtle, unexamined biases that are automatic, ambiguous, and ambivalent."
7.63.5,7,13,Social,63,"Prejudice, Discrimination, and Stereotyping",5,Understand 21st century biases that may break down as identities get more complicated.
7.64.1,7,14,Social,64,Psychology of Racism,1,Distinguish individual and systemic approaches to racism in psychology
7.64.2,7,14,Social,64,Psychology of Racism,2,Understand race as a social construction and its historical and contemporary links to racism
7.64.3,7,14,Social,64,Psychology of Racism,3,Learn about psychological mechanisms related to differences in perceptions of racism
7.64.4,7,14,Social,64,Psychology of Racism,4,Understand the implications of a systemic approach to racism for research and intervention efforts
7.64.5,7,14,Social,64,Psychology of Racism,5,Consider important connections between overlapping identities and oppression
7.65.1,7,15,Social,65,Aggression and Violence,1,"Explain the important components of the definition of aggression, and explain how aggression differs from violence."
7.65.2,7,15,Social,65,Aggression and Violence,2,"Explain whether people think the world is less violent now than in the past, and whether it actually is less violent. If there is a discrepancy between perception and reality, how can it be resolved?"
7.65.3,7,15,Social,65,Aggression and Violence,3,Identify the internal causes and external causes of aggression. Compare and contrast how the inner and external causes differ.
7.65.4,7,15,Social,65,Aggression and Violence,4,Identify effective and ineffective approaches to reducing aggression.
7.66.1,7,16,Social,66,Helping and Prosocial Behavior,1,Learn which situational and social factors affect when a bystander will help another in need.
7.66.2,7,16,Social,66,Helping and Prosocial Behavior,2,Understand which personality and individual difference factors make some people more likely to help than others.
7.66.3,7,16,Social,66,Helping and Prosocial Behavior,3,"Discover whether we help others out of a sense of altruistic concern for the victim, for more self-centered and egoistic motives, or both."
7.67.1,7,17,Social,67,Relationships and Well-being,1,Understand why relationships are key to happiness and health.
7.67.2,7,17,Social,67,Relationships and Well-being,2,Define and list different forms of relationships.
7.67.3,7,17,Social,67,Relationships and Well-being,3,List different aspects of well-being.
7.67.4,7,17,Social,67,Relationships and Well-being,4,Explain how relationships can enhance well-being.
7.67.5,7,17,Social,67,Relationships and Well-being,5,Explain how relationships might not enhance well-being.
7.68.1,7,18,Social,68,Positive Relationships,1,Understand some of the challenges that plague close relationships today.
7.68.2,7,18,Social,68,Positive Relationships,2,Become familiar with the concept of positive emotional deposits.
7.68.3,7,18,Social,68,Positive Relationships,3,Review some of the research that is relevant to positive emotional deposits.
7.68.4,7,18,Social,68,Positive Relationships,4,Describe several ways people make positive emotional deposits.
7.69.1,7,19,Social,69,Attraction and Beauty,1,Learn the advantages of attractiveness in social situations.
7.69.2,7,19,Social,69,Attraction and Beauty,2,"Know what features are associated with facial, body, and vocal attractiveness."
7.69.3,7,19,Social,69,Attraction and Beauty,3,Understand the universality and cultural variation in attractiveness.
7.69.4,7,19,Social,69,Attraction and Beauty,4,Learn about the mechanisms proposed to explain positive responses to attractiveness.
7.70.1,7,20,Social,70,Industrial/Organizational (I/O) Psychology,1,Define industrial and organizational (I/O) psychology.
7.70.2,7,20,Social,70,Industrial/Organizational (I/O) Psychology,2,Describe what an I/O psychologist does.
7.70.3,7,20,Social,70,Industrial/Organizational (I/O) Psychology,3,List the professional associations of I/O psychologists.
7.70.4,7,20,Social,70,Industrial/Organizational (I/O) Psychology,4,Identify major milestones in the history of I/O psychology.
8.71.1,8,1,Personality,71,The Psychodynamic Perspective,1,Describe the major models of personality within the psychodynamic perspective.
8.71.2,8,1,Personality,71,The Psychodynamic Perspective,2,"Define the concept of ego defense, and give examples of commonly used ego defenses."
8.71.3,8,1,Personality,71,The Psychodynamic Perspective,3,Identify psychodynamic concepts that have been supported by empirical research.
8.71.4,8,1,Personality,71,The Psychodynamic Perspective,4,Discuss current trends in psychodynamic theory.
8.72.1,8,2,Personality,72,Personality Traits,1,List and describe the “Big Five” (“OCEAN”) personality traits that comprise the Five-Factor Model of personality.
8.72.2,8,2,Personality,72,Personality Traits,2,Describe how the facet approach extends broad personality traits.
8.72.3,8,2,Personality,72,Personality Traits,3,Explain a critique of the personality-trait concept.
8.72.4,8,2,Personality,72,Personality Traits,4,Describe in what ways personality traits may be manifested in everyday behavior.
8.72.5,8,2,Personality,72,Personality Traits,5,"Describe each of the Big Five personality traits, and the low and high end of the dimension."
8.72.6,8,2,Personality,72,Personality Traits,6,"Give examples of each of the Big Five personality traits, including both a low and high example."
8.72.7,8,2,Personality,72,Personality Traits,7,Describe how traits and social learning combine to predict your social activities.
8.72.8,8,2,Personality,72,Personality Traits,8,Describe your theory of how personality traits get refined by social learning.
8.73.1,8,3,Personality,73,Self and Identity,1,Explain the basic idea of reflexivity in human selfhood—how the “I” encounters and makes sense of itself (the “Me”).
8.73.2,8,3,Personality,73,Self and Identity,2,"Describe fundamental distinctions between three different perspectives on the self: the self as actor, agent, and author."
8.73.3,8,3,Personality,73,Self and Identity,3,Describe how a sense of self as a social actor emerges around the age of 2 years and how it develops going forward.
8.73.4,8,3,Personality,73,Self and Identity,4,Describe the development of the self’s sense of motivated agency from the emergence of the child’s theory of mind to the articulation of life goals and values in adolescence and beyond.
8.73.5,8,3,Personality,73,Self and Identity,5,"Define the term narrative identity, and explain what psychological and cultural functions"
8.74.1,8,4,Personality,74,Gender,1,"Distinguish gender and sex, as well as gender identity and sexual orientation."
8.74.2,8,4,Personality,74,Gender,2,"Discuss gender differences that exist, as well as those that do not actually exist."
8.74.3,8,4,Personality,74,Gender,3,Understand and explain different theories of how gender roles are formed.
8.74.4,8,4,Personality,74,Gender,4,Discuss sexism and its impact on gender.
8.75.1,8,5,Personality,75,Personality Stability and Change,1,"Define heterotypic stability, homotypic stability, absolute stability, and differential stability."
8.75.2,8,5,Personality,75,Personality Stability and Change,2,Describe evidence concerning the absolute and differential stability of personality attributes across the lifespan.
8.75.3,8,5,Personality,75,Personality Stability and Change,3,"Explain the maturity, cumulative continuity, and corresponsive principles of personality development."
8.75.4,8,5,Personality,75,Personality Stability and Change,4,"Explain person-environment transactions, and distinguish between active, reactive, and evocative person-environment transactions."
8.75.5,8,5,Personality,75,Personality Stability and Change,5,"Identify the four processes that promote personality stability (attraction, selection, manipulation, and attrition). Provide examples of these processes."
8.75.6,8,5,Personality,75,Personality Stability and Change,6,Describe the mechanisms behind the possibility of personality transformation.
8.76.1,8,6,Personality,76,Personality Assessment,1,Appreciate the diversity of methods that are used to measure personality characteristics.
8.76.2,8,6,Personality,76,Personality Assessment,2,"Understand the logic, strengths and weaknesses of each approach."
8.76.3,8,6,Personality,76,Personality Assessment,3,Gain a better sense of the overall validity and range of applications of personality tests.
8.77.1,8,7,Personality,77,Self-Regulation and Conscientiousness,1,Understand what self-regulation means and how it works.
8.77.2,8,7,Personality,77,Self-Regulation and Conscientiousness,2,Understand the requirements and benefits of effective self-regulation.
8.77.3,8,7,Personality,77,Self-Regulation and Conscientiousness,3,Understand differences in state (ego depletion) and trait (conscientiousness).
8.78.1,8,8,Personality,78,Creativity,1,Comprehend the three criteria that have to be satisfied to conclude that an idea is creative.
8.78.2,8,8,Personality,78,Creativity,2,Appreciate some of the cognitive processes that provide the basis for creativity.
8.78.3,8,8,Personality,78,Creativity,3,Know some of the personal characteristics of highly creative people.
8.78.4,8,8,Personality,78,Creativity,4,Understand how certain social environments influence creativity.
8.79.1,8,9,Personality,79,Self-Efficacy,1,List the major factors that influence self-efficacy.
8.79.2,8,9,Personality,79,Self-Efficacy,2,Explain how self-efficacy develops.
8.79.3,8,9,Personality,79,Self-Efficacy,3,Understand the influence of self-efficacy on psychological and physical health andwellbeing as well as academic and vocational success.
8.79.4,8,9,Personality,79,Self-Efficacy,4,Define collective efficacy and explain why it is important.
8.80.1,8,10,Personality,80,"Intellectual Abilities, Interests, and Mastery",1,Compare and contrast satisfaction and satisfactoriness.
8.80.2,8,10,Personality,80,"Intellectual Abilities, Interests, and Mastery",2,Discuss why the model of talent development offered in this module places equal emphasis on assessing the person and assessing the environment.
8.80.3,8,10,Personality,80,"Intellectual Abilities, Interests, and Mastery",3,Articulate the relationship between ability and learning and performance.
8.80.4,8,10,Personality,80,"Intellectual Abilities, Interests, and Mastery",4,"Understand the issue of an ""ability threshold"" beyond which more ability may or may not matter."
8.80.5,8,10,Personality,80,"Intellectual Abilities, Interests, and Mastery",5,List personal attributes other than interests and abilities that are important to individual accomplishment.
9.81.1,9,1,Emotions and Motivation,81,Affective Neuroscience,1,Define affective neuroscience.
9.81.2,9,1,Emotions and Motivation,81,Affective Neuroscience,2,Describe neuroscience techniques used to study emotions in humans and animals.
9.81.3,9,1,Emotions and Motivation,81,Affective Neuroscience,3,Name five emotional systems and their associated neural structures and neurotransmitters.
9.81.4,9,1,Emotions and Motivation,81,Affective Neuroscience,4,"Give examples of exogenous chemicals (e.g., drugs) that influence affective systems, and discuss their effects."
9.81.5,9,1,Emotions and Motivation,81,Affective Neuroscience,5,Discuss multiple affective functions of the amygdala and the nucleus accumbens.
9.81.6,9,1,Emotions and Motivation,81,Affective Neuroscience,6,"Name several specific human emotions, and discuss their relationship to the affective systems of nonhuman animals."
9.82.1,9,2,Emotions and Motivation,82,Functions of Emotions,1,Gain an appreciation of the importance of emotion in human life.
9.82.2,9,2,Emotions and Motivation,82,Functions of Emotions,2,"Understand the functions and meanings of emotion in three areas of life: the intrapersonal, interpersonal, and social–cultural."
9.82.3,9,2,Emotions and Motivation,82,Functions of Emotions,3,Give examples of the role and function of emotion in each of the three areas described.
9.83.1,9,3,Emotions and Motivation,83,Emotion Experience and Well-Being,1,Describe the general pattern of associations between emotion experience and well-being.
9.83.2,9,3,Emotions and Motivation,83,Emotion Experience and Well-Being,2,Identify at least three aspects of emotion experience beyond positivity and negativity of the emotion that affect the link between emotion experience and well-being.
9.84.1,9,4,Emotions and Motivation,84,Emotional Intelligence,1,Understand the theoretical foundations of emotional intelligence and the relationship between emotion and cognition.
9.84.2,9,4,Emotions and Motivation,84,Emotional Intelligence,2,Distinguish between mixed and ability models of emotional intelligence.
9.84.3,9,4,Emotions and Motivation,84,Emotional Intelligence,3,Understand various methods for measuring emotional intelligence.
9.84.4,9,4,Emotions and Motivation,84,Emotional Intelligence,4,"Describe emotional intelligence’s evolution as a theoretical, success-oriented, and achievement-based framework."
9.84.5,9,4,Emotions and Motivation,84,Emotional Intelligence,5,"Identify and define key concepts of emotional intelligence (including emotion regulation, expression of emotion, understanding emotion, etc.) and the ways they contribute to decision making, relationship building, and overall well-being."
9.85.1,9,5,Emotions and Motivation,85,Culture and Emotion,1,Review the history of cross-cultural studies of emotion
9.85.2,9,5,Emotions and Motivation,85,Culture and Emotion,2,Learn about recent empirical findings and theories of culture and emotion
9.85.3,9,5,Emotions and Motivation,85,Culture and Emotion,3,Understand why cultural differences in emotion matter
9.85.4,9,5,Emotions and Motivation,85,Culture and Emotion,4,Explore current and future directions in culture and emotion research
9.86.1,9,6,Emotions and Motivation,86,"Knowledge Emotions: Feelings that Foster Learning, Exploring, and Reflecting",1,Identify the four knowledge emotions.
9.86.2,9,6,Emotions and Motivation,86,"Knowledge Emotions: Feelings that Foster Learning, Exploring, and Reflecting",2,Describe the patterns of appraisals that bring about these emotions.
9.86.3,9,6,Emotions and Motivation,86,"Knowledge Emotions: Feelings that Foster Learning, Exploring, and Reflecting",3,Discuss how the knowledge emotions promote learning.
9.86.4,9,6,Emotions and Motivation,86,"Knowledge Emotions: Feelings that Foster Learning, Exploring, and Reflecting",4,"Apply the knowledge emotions to enhancing learning and education, and to one’s own life."
9.87.1,9,7,Emotions and Motivation,87,Motives and Goals,1,"Define the basic terminology related to goals, motivation, self-regulation, and self-control."
9.87.2,9,7,Emotions and Motivation,87,Motives and Goals,2,Describe the antecedents and consequences of goal activation.
9.87.3,9,7,Emotions and Motivation,87,Motives and Goals,3,Describe the factors that influence motivation in the course of goal pursuit.
9.87.4,9,7,Emotions and Motivation,87,Motives and Goals,4,"Explain the process underlying goal activation, self-regulation, and self-control."
9.87.5,9,7,Emotions and Motivation,87,Motives and Goals,5,"Give examples of goal activation effects, self-regulation processes, and self-control processes."
9.88.1,9,8,Emotions and Motivation,88,Drive States,1,Identify the key properties of drive states
9.88.2,9,8,Emotions and Motivation,88,Drive States,2,Describe biological goals accomplished by drive states
9.88.3,9,8,Emotions and Motivation,88,Drive States,3,Give examples of drive states
9.88.4,9,8,Emotions and Motivation,88,Drive States,4,Outline the neurobiological basis of drive states such as hunger and arousal
9.88.5,9,8,Emotions and Motivation,88,Drive States,5,Discuss the main moderators and determinants of drive states such as hunger and arousal
10.89.1,10,1,Psychological Disorders,89,History of Mental Illness,1,Identify what the criteria used to distinguish normality from abnormality are.
10.89.2,10,1,Psychological Disorders,89,History of Mental Illness,2,Understand the difference among the three main etiological theories of mental illness.
10.89.3,10,1,Psychological Disorders,89,History of Mental Illness,3,"Describe specific beliefs or events in history that exemplify each of these etiological theories (e.g., hysteria, humorism, witch hunts, asylums, moral treatments)."
10.89.4,10,1,Psychological Disorders,89,History of Mental Illness,4,"Explain the differences in treatment facilities for the mentally ill (e.g., mental hospitals, asylums, community mental health centers)."
10.89.5,10,1,Psychological Disorders,89,History of Mental Illness,5,"Describe the features of the “moral treatment” approach used by Chiarughi, Pinel, and Tuke."
10.89.6,10,1,Psychological Disorders,89,History of Mental Illness,6,Describe the reform efforts of Dix and Beers and the outcomes of their work.
10.89.7,10,1,Psychological Disorders,89,History of Mental Illness,7,Describe Kräpelin’s classification of mental illness and the current DSM system.
10.90.1,10,2,Psychological Disorders,90,Therapeutic Orientations,1,Become familiar with the most widely practiced approaches to psychotherapy.
10.90.2,10,2,Psychological Disorders,90,Therapeutic Orientations,2,"For each therapeutic approach, consider: history, goals, key techniques, and empirical support."
10.90.3,10,2,Psychological Disorders,90,Therapeutic Orientations,3,Consider the impact of emerging treatment strategies in mental health.
10.91.1,10,3,Psychological Disorders,91,Schizophrenia Spectrum Disorders,1,Describe the signs and symptoms of schizophrenia and related psychotic disorders.
10.91.2,10,3,Psychological Disorders,91,Schizophrenia Spectrum Disorders,2,Describe the most well-replicated cognitive and neurobiological changes associated with schizophrenia.
10.91.3,10,3,Psychological Disorders,91,Schizophrenia Spectrum Disorders,3,Describe the potential risk factors for the development of schizophrenia.
10.91.4,10,3,Psychological Disorders,91,Schizophrenia Spectrum Disorders,4,Describe the controversies associated with “clinical high risk” approaches to identifying individuals at risk for the development of schizophrenia.
10.91.5,10,3,Psychological Disorders,91,Schizophrenia Spectrum Disorders,5,Describe the treatments that work for some of the symptoms of schizophrenia.
10.92.1,10,4,Psychological Disorders,92,Anxiety and Related Disorders,1,Understand the relationship between anxiety and anxiety disorders.
10.92.2,10,4,Psychological Disorders,92,Anxiety and Related Disorders,2,Identify key vulnerabilities for developing anxiety and related disorders.
10.92.3,10,4,Psychological Disorders,92,Anxiety and Related Disorders,3,Identify main diagnostic features of specific anxiety-related disorders.
10.92.4,10,4,Psychological Disorders,92,Anxiety and Related Disorders,4,Differentiate between disordered and non-disordered functioning.
10.93.1,10,5,Psychological Disorders,93,Mood Disorders,1,Describe the diagnostic criteria for mood disorders.
10.93.2,10,5,Psychological Disorders,93,Mood Disorders,2,"Understand age, gender, and ethnic differences in prevalence rates of mood disorders."
10.93.3,10,5,Psychological Disorders,93,Mood Disorders,3,Identify common risk factors for mood disorders.
10.93.4,10,5,Psychological Disorders,93,Mood Disorders,4,Know effective treatments of mood disorders.
10.94.1,10,6,Psychological Disorders,94,Personality Disorders,1,Define what is meant by a personality disorder.
10.94.2,10,6,Psychological Disorders,94,Personality Disorders,2,Identify the five domains of general personality.
10.94.3,10,6,Psychological Disorders,94,Personality Disorders,3,Identify the six personality disorders proposed for retention in DSM-5.
10.94.4,10,6,Psychological Disorders,94,Personality Disorders,4,Summarize the etiology for antisocial and borderline personality disorder.
10.94.5,10,6,Psychological Disorders,94,Personality Disorders,5,Identify the treatment for borderline personality disorder.
10.95.1,10,7,Psychological Disorders,95,Dissociative Disorders,1,Define the basic terminology and historical origins of dissociative symptoms and dissociative disorders.
10.95.2,10,7,Psychological Disorders,95,Dissociative Disorders,2,"Describe the posttraumatic model of dissociation and the sleep-dissociation model, and the controversies and debate between these competing theories."
10.95.3,10,7,Psychological Disorders,95,Dissociative Disorders,3,What is the innovative angle of the sleep-dissociation model?
10.95.4,10,7,Psychological Disorders,95,Dissociative Disorders,4,How can the two models be combined into one conceptual scheme?
10.96.1,10,8,Psychological Disorders,96,Autism: Insights from the Study of the Social Brain,1,Know the basic symptoms of ASD.
10.96.2,10,8,Psychological Disorders,96,Autism: Insights from the Study of the Social Brain,2,Distinguish components of the social brain and understand their dysfunction in ASD.
10.96.3,10,8,Psychological Disorders,96,Autism: Insights from the Study of the Social Brain,3,Appreciate how social neuroscience may facilitate the diagnosis and treatment of ASD.
10.97.1,10,9,Psychological Disorders,97,Psychopathy,1,"Learn about Cleckley’s classic account of psychopathy, presented in his book The Mask of Sanity, along with other historic conceptions."
10.97.2,10,9,Psychological Disorders,97,Psychopathy,2,"Compare and contrast differing inventories currently in use for assessing psychopathy in differing samples (e.g., adults and younger individuals, within clinical-forensic and community settings)."
10.97.3,10,9,Psychological Disorders,97,Psychopathy,3,"Become familiar with the Triarchic model of psychopathy and its constituent constructs of boldness, meanness, and disinhibition."
10.97.4,10,9,Psychological Disorders,97,Psychopathy,4,Learn about alternative theories regarding the causal origins of psychopathy.
10.97.5,10,9,Psychological Disorders,97,Psychopathy,5,"Consider how longstanding matters of debate regarding the nature, definition, and origins of psychopathy can be addressed from the perspective of the Triarchic model."
10.98.1,10,10,Psychological Disorders,98,ADHD and Behavior Disorders in Children,1,Distinguish childhood behavior disorders from phases of typical child development.
10.98.2,10,10,Psychological Disorders,98,ADHD and Behavior Disorders in Children,2,Describe the factors contributing to Attention-Deficit/Hyperactivity Disorder (ADHD)
10.98.3,10,10,Psychological Disorders,98,ADHD and Behavior Disorders in Children,3,Understand the controversies surrounding the legitimacy and treatment of childhood behavior disorders
10.98.4,10,10,Psychological Disorders,98,ADHD and Behavior Disorders in Children,4,Describe the empirically supported treatments for Attention-Deficit/Hyperactivity Disorder (ADHD)
10.99.1,10,11,Psychological Disorders,99,Social Anxiety,1,Distinguish social anxiety from social anxiety disorder.
10.99.2,10,11,Psychological Disorders,99,Social Anxiety,2,Identify commonly feared social situations.
10.99.3,10,11,Psychological Disorders,99,Social Anxiety,3,Know the prevalence and treatment rates of social anxiety disorder.
10.99.4,10,11,Psychological Disorders,99,Social Anxiety,4,"Understand how social anxiety influences thoughts, feelings, and behaviors."
10.99.5,10,11,Psychological Disorders,99,Social Anxiety,5,Identify effective treatments for social anxiety disorder.
10.100.1,10,12,Psychological Disorders,100,Psychopharmacology,1,How do the majority of psychoactive drugs work in the brain?
10.100.2,10,12,Psychological Disorders,100,Psychopharmacology,2,How does the route of administration affect how rewarding a drug might be?
10.100.3,10,12,Psychological Disorders,100,Psychopharmacology,3,Why is grapefruit dangerous to consume with many psychotropic medications?
10.100.4,10,12,Psychological Disorders,100,Psychopharmacology,4,Why might individualized drug doses based on genetic screening be helpful for treating conditions like depression?
10.100.5,10,12,Psychological Disorders,100,Psychopharmacology,5,"Why is there controversy regarding pharmacotherapy for children, adolescents, and the elderly?"
11.101.1,11,1,Well-Being,101,The Healthy Life,1,Describe basic terminology used in the field of health psychology.
11.101.2,11,1,Well-Being,101,The Healthy Life,2,"Explain theoretical models of health, as well as the role of psychological stress in the development of disease."
11.101.3,11,1,Well-Being,101,The Healthy Life,3,Describe psychological factors that contribute to resilience and improved health.
11.101.4,11,1,Well-Being,101,The Healthy Life,4,Defend the relevance and importance of psychology to the field of medicine.
11.102.1,11,2,Well-Being,102,Happiness: The Science of Subjective Well-Being,1,Describe three major forms of happiness and a cause of each of them.
11.102.2,11,2,Well-Being,102,Happiness: The Science of Subjective Well-Being,2,Be able to list two internal causes of subjective well-being and two external causes of subjective well-being.
11.102.3,11,2,Well-Being,102,Happiness: The Science of Subjective Well-Being,3,"Describe the types of societies that experience the most and least happiness, and why they do."
11.102.4,11,2,Well-Being,102,Happiness: The Science of Subjective Well-Being,4,Describe the typical course of adaptation to events in terms of the time course of SWB.
11.102.5,11,2,Well-Being,102,Happiness: The Science of Subjective Well-Being,5,Describe several of the beneficial outcomes of being a happy person.
11.102.6,11,2,Well-Being,102,Happiness: The Science of Subjective Well-Being,6,Describe how happiness is typically measured.
11.103.1,11,3,Well-Being,103,Positive Psychology,1,"Describe what positive psychology is, who started it, and why it came into existence."
11.103.2,11,3,Well-Being,103,Positive Psychology,2,"Identify some of the most important findings from the science of positive psychology with respect to forgiveness, gratitude, and humility."
11.103.3,11,3,Well-Being,103,Positive Psychology,3,"Explore how positive psychology might make a difference in how you think about your own life, the nature of human nature, and what is really important to you."
11.104.1,11,4,Well-Being,104,Optimal Levels of Happiness,1,Learn about the research on the relationship between happiness and important life outcomes.
11.104.2,11,4,Well-Being,104,Optimal Levels of Happiness,2,Learn about the levels of happiness that are associated with the highest levels of outcomes.
12.105.1,12,1,Community Psychology,105,Introduction to Community Psychology,1,Understand the differences between prevention and treatment
12.105.2,12,1,Community Psychology,105,Introduction to Community Psychology,2,Differentiate interventions that bring about short-term versus long-term changes
12.105.3,12,1,Community Psychology,105,Introduction to Community Psychology,3,Appreciate the many layers of community interventions
12.105.4,12,1,Community Psychology,105,Introduction to Community Psychology,4,Identify critical elements of the Community Psychology approach